date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:44:40	2806/2806	---M--	200	added ('OK')	image/png	etag:%22af6-536f76fc1ff6c%22	http://hdinvesting.cn/wp-content/themes/corporate-plus/assets/library/bxslider/images/controls.png	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/wp-content/themes/corporate-plus/assets/library/bxslider/images/controls.png	(from http://hdinvesting.cn/wp-content/themes/corporate-plus/assets/library/bxslider/css/jquery.bxslider.min.css?ver=4.2.5)
08:44:40	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2211497-536f76fc1e02c%22	http://hdinvesting.cn/wp-content/themes/corporate-plus/assets/library/Font-Awesome/fonts/fontawesome-webfont.eot?	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/wp-content/themes/corporate-plus/assets/library/Font-Awesome/fonts/fontawesome-webfontd41d.eot	(from http://hdinvesting.cn/wp-content/themes/corporate-plus/assets/library/Font-Awesome/css/font-awesome.min.css?ver=4.5.0)
08:44:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2009%20Oct%202018%2000:44:40%20GMT	http://hdinvesting.cn/?p=4	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/index5c7e.html	(from http://hdinvesting.cn/?page_id=4)
08:44:41	2341/2341	---M--	200	added ('OK')	application/json	date:Tue,%2009%20Oct%202018%2000:44:40%20GMT	http://hdinvesting.cn/?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Fhdinvesting.cn%2F%3Fpage_id%3D4	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/index9e4b.html	(from http://hdinvesting.cn/?page_id=4)
08:44:41	2509/2509	---M-Z	200	added ('OK')	text/xml	date:Tue,%2009%20Oct%202018%2000:44:40%20GMT	http://hdinvesting.cn/?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Fhdinvesting.cn%2F%3Fpage_id%3D4&format=xml	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/index3c3d.html	(from http://hdinvesting.cn/?page_id=4)
08:44:41	83588/83588	---M--	200	added ('OK')	application/x-font-woff	etag:%2214684-536f76fc1e02c%22	http://hdinvesting.cn/wp-content/themes/corporate-plus/assets/library/Font-Awesome/fonts/fontawesome-webfont.woff?v=4.5.0	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/wp-content/themes/corporate-plus/assets/library/Font-Awesome/fonts/fontawesome-webfont3295.woff	(from http://hdinvesting.cn/wp-content/themes/corporate-plus/assets/library/Font-Awesome/css/font-awesome.min.css?ver=4.5.0)
08:44:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2009%20Oct%202018%2000:44:40%20GMT	http://hdinvesting.cn/?p=219	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/index50f6.html	(from http://hdinvesting.cn/?page_id=219)
08:44:42	24162/24162	---M--	200	added ('OK')	image/jpeg	etag:%225e62-5371819d06648%22	http://hdinvesting.cn/wp-content/uploads/2016/07/52203650433284878.jpg	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/wp-content/uploads/2016/07/52203650433284878.jpg	(from http://hdinvesting.cn/?page_id=49)
08:44:42	2345/2345	---M--	200	added ('OK')	application/json	date:Tue,%2009%20Oct%202018%2000:44:41%20GMT	http://hdinvesting.cn/?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Fhdinvesting.cn%2F%3Fpage_id%3D219	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/indexa61d.html	(from http://hdinvesting.cn/?page_id=219)
08:44:42	86393/86393	---M--	200	added ('OK')	image/png	etag:%2215179-536f76fc20f0c%22	http://hdinvesting.cn/wp-content/themes/corporate-plus/assets/img/continents-bg.png	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/wp-content/themes/corporate-plus/assets/img/continents-bg.png	(from http://hdinvesting.cn/wp-content/themes/corporate-plus/style.css?ver=4.5.3)
08:44:42	1078/1078	---M-Z	200	added ('OK')	application/javascript	etag:%22436-536f74d81ee64-gzip%22	http://hdinvesting.cn/wp-includes/js/comment-reply.min.js?ver=4.5.3	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/wp-includes/js/comment-reply.min62d0.js	(from http://hdinvesting.cn/?p=65)
08:44:42	26916/26916	---M--	200	added ('OK')	image/jpeg	etag:%226924-5371819d28928%22	http://hdinvesting.cn/wp-content/uploads/2016/07/52203650433284878-300x300.jpg	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/wp-content/uploads/2016/07/52203650433284878-300x300.jpg	(from http://hdinvesting.cn/?page_id=49)
